track_id,vehicle_type,first_frame,last_frame,ocr_attempts,best_plate,best_confidence,all_readings
1,motorcycle,5,270,4,TN41AR0082,0.958,TN09CX5000;TN10CC0947;TN41AR0082
2,car,5,50,6,TN10BL7364,0.973,TN10BL7364
3,motorcycle,5,20,1,,0.000,
4,auto,5,1325,241,TN03D9766,0.994,TN03D9766
5,motorcycle,5,5,0,,0.000,
6,car,20,125,2,TN09CX5000,0.843,TN09CX5000;TR09CX5060
11,car,45,70,0,,0.000,
12,motorcycle,55,55,0,,0.000,
15,car,70,115,0,,0.000,
18,car,90,520,4,TN37OF3523,0.947,TN10BY5351;TN37OF3523;TN41AR002
21,motorcycle,95,440,1,TN10BY5351,0.843,TN10BY5351
28,motorcycle,115,435,2,TN10BY5351,0.856,TN10BY5351
29,car,115,225,0,,0.000,
36,car,200,315,0,,0.000,
48,motorcycle,295,585,0,,0.000,
49,car,300,510,1,,0.000,
60,car,320,485,0,,0.000,
74,car,385,430,0,,0.000,
122,van,520,580,13,TN03D9766,0.991,TN03D9766
124,car,550,1010,8,TN10BV3974,0.885,TN10BV3374;TN10BV3974;TN10BY3974
140,motorcycle,610,705,0,,0.000,
151,motorcycle,625,895,1,,0.000,
152,motorcycle,625,875,0,,0.000,
154,car,625,905,5,TN23AP4115,0.966,TN23AP4115
161,car,655,975,10,TN04AY8104,0.936,TN02AT0104;TN04AT8104;TN04AY8104
175,motorcycle,705,705,0,,0.000,
177,car,710,715,0,,0.000,
185,car,725,730,0,,0.000,
189,motorcycle,745,970,0,,0.000,
190,van,750,780,6,TN03D9766,0.988,TN03D9766
193,motorcycle,765,965,1,TN9E2174,0.598,TN9E2174
194,van,765,820,0,,0.000,
200,car,790,900,0,,0.000,
205,van,810,825,3,TN03D9766,0.981,TN03D9766
209,motorcycle,825,970,0,,0.000,
211,van,840,1090,0,,0.000,
222,car,890,980,0,,0.000,
227,car,910,1090,0,,0.000,
228,motorcycle,910,960,0,,0.000,
230,car,915,1325,7,TN976500,0.988,TN05DB4398;TN05OB4398;TN05OO4398;TN976500
231,car,945,1095,2,TN073736,0.921,TN073736
250,car,1055,1205,3,TN09CS1812,0.872,TN03CS1012;TN09CS1812
258,car,1085,1265,0,,0.000,
272,car,1120,1325,0,,0.000,
275,car,1125,1130,0,,0.000,
286,car,1165,1195,0,,0.000,
288,car,1165,1280,0,,0.000,
291,motorcycle,1215,1325,0,,0.000,
292,van,1215,1225,0,,0.000,
293,motorcycle,1225,1225,0,,0.000,
294,motorcycle,1230,1325,0,,0.000,
295,motorcycle,1240,1325,4,TN05AT3631,0.976,TN05AI3631;TN05AT3631
308,car,1320,1325,0,,0.000,
