frame_id,track_id,vehicle_type,vehicle_bbox_x1,vehicle_bbox_y1,vehicle_bbox_x2,vehicle_bbox_y2,plate_bbox_x1,plate_bbox_y1,plate_bbox_x2,plate_bbox_y2,plate_confidence,detect_inference_ms,ocr_ran,ocr_raw_text,ocr_confidence,ocr_validated_plate,ocr_status,ocr_inference_ms
5,1,motorcycle,256,535,587,913,308,656,395,694,0.434,982.7,True,17059280,0.585,,rejected,84.0
5,2,car,1118,411,1227,516,1141,476,1174,489,0.568,982.7,True,,,,no_text,9.5
5,3,motorcycle,1058,439,1135,557,,,,,,982.7,False,,,,,
5,4,auto,1274,348,1817,1053,1468,659,1553,712,0.743,982.7,True,TN03D9766,0.970,TN03D9766,accepted,49.3
5,5,motorcycle,921,415,960,478,,,,,,982.7,False,,,,,
10,2,car,1093,417,1211,531,1115,488,1152,503,0.532,56.1,True,,,,no_text,9.3
10,3,motorcycle,1018,446,1108,584,,,,,,56.1,False,,,,,
10,4,auto,1271,359,1816,1067,1467,675,1550,724,0.697,56.1,True,TN03D9766,0.990,TN03D9766,accepted,38.8
15,2,car,1061,417,1191,541,1083,494,1125,510,0.595,55.0,True,,,,no_text,9.8
15,3,motorcycle,959,448,1070,618,969,519,1004,536,0.248,55.0,True,,,,no_text,18.1
15,4,auto,1274,359,1823,1072,1471,672,1553,723,0.722,55.0,True,TN03D9766,0.980,TN03D9766,accepted,38.3
20,2,car,1018,412,1171,558,1042,506,1093,525,0.653,43.7,True,,,,no_text,36.3
20,3,motorcycle,872,458,1011,672,872,553,917,577,0.495,43.7,True,FLOY,0.511,,rejected,25.4
20,4,auto,1277,362,1822,1071,1472,675,1555,724,0.710,43.7,True,TN03D9766,0.987,TN03D9766,accepted,37.3
20,6,car,1146,415,1205,476,,,,,,43.7,False,,,,,
25,2,car,959,411,1143,585,981,523,1044,546,0.514,43.7,True,THIEILZOCA,0.680,,rejected,27.9
25,4,auto,1281,361,1824,1066,1479,671,1563,724,0.737,43.7,True,TN03D9766,0.980,TN03D9766,accepted,67.5
25,6,car,1134,414,1199,480,,,,,,43.7,False,,,,,
30,2,car,901,410,1113,610,930,542,999,564,0.641,43.0,True,TN10BL7364,0.838,TN10BL7364,accepted,40.7
30,4,auto,1282,361,1825,1067,1479,668,1563,722,0.736,43.0,True,TN03D9766,0.971,TN03D9766,accepted,37.7
30,6,car,1119,413,1189,485,,,,,,43.0,False,,,,,
30,1,motorcycle,112,522,596,1075,148,794,259,858,0.724,43.0,True,CINI0CC0947,0.763,TN10CC0947,accepted,37.2
35,2,car,840,408,1083,635,871,559,950,584,0.653,43.2,True,ETNTOBL7354,0.693,,rejected,29.3
35,4,auto,1283,361,1824,1064,1480,667,1564,721,0.743,43.2,True,TN03D9766,0.988,TN03D9766,accepted,37.9
35,6,car,1107,411,1182,488,,,,,,43.2,False,,,,,
40,2,car,731,404,1034,684,738,601,841,635,0.701,43.2,True,TN108L7364,0.895,TN10BL7364,accepted,28.8
40,4,auto,1284,360,1825,1061,1480,661,1566,720,0.748,43.2,True,TN03D9766,0.980,TN03D9766,accepted,37.6
40,6,car,1091,409,1173,492,,,,,,43.2,False,,,,,
45,2,car,599,398,977,741,590,645,719,686,0.727,43.3,True,TN10BL7364,0.973,TN10BL7364,accepted,29.6
45,4,auto,1284,357,1827,1060,1482,661,1568,718,0.767,43.3,True,TN03D9766,0.981,TN03D9766,accepted,37.9
45,6,car,1077,406,1167,495,1093,445,1126,458,0.311,43.3,True,,,,no_text,9.0
45,11,car,1214,389,1235,411,,,,,,43.3,False,,,,,
50,2,car,401,387,901,833,338,719,504,775,0.772,43.2,True,TN10BL7364,0.967,TN10BL7364,accepted,29.0
50,4,auto,1284,354,1826,1057,1481,653,1566,715,0.778,43.2,True,TN03D9766,0.985,TN03D9766,accepted,37.6
50,6,car,1060,399,1159,497,,,,,,43.2,False,,,,,
50,11,car,1213,387,1235,410,,,,,,43.2,False,,,,,
55,4,auto,1283,355,1823,1053,1480,654,1565,715,0.778,43.3,True,TN03D9766,0.977,TN03D9766,accepted,39.9
55,6,car,1039,395,1150,503,,,,,,43.3,False,,,,,
55,11,car,1212,387,1234,411,,,,,,43.3,False,,,,,
55,12,motorcycle,1255,393,1270,416,,,,,,43.3,False,,,,,
55,1,car,76,384,706,1083,,,,,,43.3,False,,,,,
60,4,auto,1288,351,1827,1047,1484,657,1570,709,0.768,45.2,True,TN03D9766,0.979,TN03D9766,accepted,51.8
60,6,car,1015,392,1137,510,1032,445,1077,459,0.239,45.2,True,,,,no_text,10.4
60,11,car,1212,385,1235,410,,,,,,45.2,False,,,,,
60,1,car,-20,359,615,1083,,,,,,45.2,False,,,,,
65,4,auto,1284,347,1823,1043,1480,652,1567,706,0.717,42.9,True,TN03D9766,0.960,TN03D9766,accepted,39.4
65,6,car,981,385,1118,516,999,467,1039,484,0.250,42.9,True,,,,no_text,8.8
65,11,car,1205,381,1231,408,,,,,,42.9,False,,,,,
70,4,auto,1297,345,1837,1041,1499,649,1586,701,0.731,42.6,True,TN03D9766,0.983,TN03D9766,accepted,39.1
70,6,car,951,376,1107,524,975,470,1020,484,0.634,42.6,True,,,,no_text,28.1
70,11,car,1211,377,1237,404,,,,,,42.6,False,,,,,
70,15,car,1096,389,1163,465,,,,,,42.6,False,,,,,
75,4,auto,1324,342,1866,1039,1532,647,1618,699,0.737,42.3,True,TN03D9766,0.964,TN03D9766,accepted,39.3
75,6,car,912,366,1099,538,933,481,989,497,0.690,42.3,True,,,,no_text,43.2
75,15,car,1102,382,1177,468,,,,,,42.3,False,,,,,
80,4,auto,1346,340,1890,1037,1554,647,1641,698,0.778,42.3,True,TN03D9766,0.987,TN03D9766,accepted,40.7
80,6,car,868,357,1087,556,888,491,953,510,0.673,42.3,True,,,,no_text,29.0
80,15,truck,1105,377,1187,470,,,,,,42.3,False,,,,,
85,4,auto,1363,339,1907,1034,1567,641,1653,692,0.771,42.8,True,TN03D9766,0.977,TN03D9766,accepted,39.4
85,6,car,814,347,1069,575,828,504,900,523,0.706,42.8,True,ETRO9CXSOGO,0.748,TR09CX5060,accepted,44.7
90,4,auto,1371,335,1916,1032,1574,637,1661,690,0.756,42.4,True,TN03D9766,0.966,TN03D9766,accepted,52.8
90,6,car,722,336,1031,606,713,530,801,554,0.699,42.4,True,INO9CX5000,0.843,TN09CX5000,accepted,29.8
90,18,car,1270,367,1297,394,,,,,,42.4,False,,,,,
90,15,bus,1094,366,1185,472,1115,439,1130,452,0.263,42.4,True,,,,no_text,13.4
95,4,auto,1374,331,1920,1028,1574,629,1662,686,0.793,42.5,True,TN03D9766,0.982,TN03D9766,accepted,39.1
95,18,car,1268,365,1296,393,,,,,,42.5,False,,,,,
95,21,motorcycle,1328,369,1341,394,,,,,,42.5,False,,,,,
95,15,bus,1059,360,1164,481,1068,444,1089,459,0.353,42.5,True,,,,no_text,7.0
95,1,car,253,293,753,802,214,628,366,681,0.731,42.5,True,THO9CX5000,0.905,TN09CX5000,accepted,27.6
100,4,auto,1374,328,1923,1030,1574,630,1663,687,0.783,42.3,True,TN03D9766,0.986,TN03D9766,accepted,38.8
100,18,car,1267,366,1295,394,,,,,,42.3,False,,,,,
100,21,motorcycle,1327,369,1340,395,,,,,,42.3,False,,,,,
100,15,bus,1024,354,1142,490,1036,453,1058,468,0.236,42.3,True,,,,no_text,6.8
100,1,car,67,264,776,979,,,,,,42.3,False,,,,,
105,4,auto,1374,328,1923,1031,1573,631,1661,687,0.787,42.2,True,TN03D9766,0.972,TN03D9766,accepted,39.0
105,18,car,1265,366,1294,395,,,,,,42.2,False,,,,,
105,21,motorcycle,1326,370,1339,395,,,,,,42.2,False,,,,,
105,15,bus,982,350,1115,503,,,,,,42.2,False,,,,,
105,1,car,-35,217,695,986,,,,,,42.2,False,,,,,
110,4,auto,1374,329,1922,1029,1573,629,1662,687,0.787,42.4,True,TN03D9766,0.988,TN03D9766,accepted,39.0
110,18,car,1261,367,1291,398,,,,,,42.4,False,,,,,
110,21,motorcycle,1326,371,1339,397,,,,,,42.4,False,,,,,
110,15,bus,909,341,1070,526,902,477,933,499,0.227,42.4,True,,,,no_text,6.8
115,4,auto,1371,326,1923,1031,1576,629,1665,686,0.786,42.5,True,TN03D9766,0.992,TN03D9766,accepted,39.0
115,18,car,1259,367,1292,399,,,,,,42.5,False,,,,,
115,21,motorcycle,1327,370,1341,397,,,,,,42.5,False,,,,,
115,15,bus,839,332,1027,548,,,,,,42.5,False,,,,,
115,28,motorcycle,1396,392,1412,416,,,,,,42.5,False,,,,,
115,29,car,1359,382,1386,407,,,,,,42.5,False,,,,,
115,6,auto,755,331,1022,570,,,,,,42.5,False,,,,,
120,4,auto,1369,325,1923,1032,1574,626,1662,686,0.797,42.4,True,TN03D9766,0.971,TN03D9766,accepted,38.9
120,18,car,1256,368,1289,401,,,,,,42.4,False,,,,,
120,21,motorcycle,1325,370,1340,398,,,,,,42.4,False,,,,,
120,28,motorcycle,1394,393,1410,417,,,,,,42.4,False,,,,,
120,29,car,1359,383,1386,407,,,,,,42.4,False,,,,,
120,6,van,674,322,972,595,,,,,,42.4,False,,,,,
125,4,auto,1369,322,1923,1032,1576,627,1663,680,0.760,42.4,True,TN03D9766,0.974,TN03D9766,accepted,39.6
125,18,car,1252,367,1287,400,,,,,,42.4,False,,,,,
125,21,motorcycle,1324,368,1339,396,,,,,,42.4,False,,,,,
125,28,motorcycle,1393,389,1409,413,,,,,,42.4,False,,,,,
125,29,car,1359,380,1385,404,,,,,,42.4,False,,,,,
125,6,auto,521,306,885,643,,,,,,42.4,False,,,,,
130,4,auto,1369,319,1923,1028,1577,624,1664,677,0.745,42.0,True,TN03D9766,0.975,TN03D9766,accepted,52.6
130,18,car,1249,365,1285,400,,,,,,42.0,False,,,,,
130,21,motorcycle,1323,366,1338,394,,,,,,42.0,False,,,,,
130,28,motorcycle,1393,386,1408,410,,,,,,42.0,False,,,,,
130,29,car,1357,376,1385,402,,,,,,42.0,False,,,,,
130,1,auto,161,259,669,784,,,,,,42.0,False,,,,,
135,4,auto,1369,319,1922,1028,1578,626,1665,678,0.762,40.9,True,TN03D9766,0.983,TN03D9766,accepted,39.5
135,18,car,1247,365,1285,401,,,,,,40.9,False,,,,,
135,21,motorcycle,1323,366,1339,395,,,,,,40.9,False,,,,,
135,28,motorcycle,1392,384,1408,409,,,,,,40.9,False,,,,,
135,29,car,1356,373,1386,402,,,,,,40.9,False,,,,,
140,4,auto,1368,319,1923,1030,1579,628,1666,679,0.761,40.7,True,TN03D9766,0.994,TN03D9766,accepted,39.3
140,18,car,1246,367,1285,404,,,,,,40.7,False,,,,,
140,21,motorcycle,1325,369,1339,396,,,,,,40.7,False,,,,,
140,28,motorcycle,1393,386,1409,409,,,,,,40.7,False,,,,,
140,29,car,1356,375,1385,402,,,,,,40.7,False,,,,,
145,4,auto,1368,318,1922,1028,1577,626,1663,678,0.744,41.6,True,TN03D9766,0.985,TN03D9766,accepted,39.6
145,18,car,1243,368,1284,406,,,,,,41.6,False,,,,,
145,21,motorcycle,1324,370,1339,397,,,,,,41.6,False,,,,,
145,28,motorcycle,1393,385,1408,409,,,,,,41.6,False,,,,,
150,4,auto,1367,317,1921,1027,1574,626,1661,679,0.765,36.1,True,TN03D9766,0.984,TN03D9766,accepted,39.2
150,18,car,1238,370,1282,411,,,,,,36.1,False,,,,,
150,21,motorcycle,1323,371,1338,399,,,,,,36.1,False,,,,,
150,28,motorcycle,1391,386,1406,410,,,,,,36.1,False,,,,,
155,4,auto,1366,316,1921,1026,1574,624,1662,678,0.766,36.7,True,TN03D9766,0.988,TN03D9766,accepted,54.2
155,18,car,1235,372,1279,414,,,,,,36.7,False,,,,,
155,21,motorcycle,1322,372,1338,400,,,,,,36.7,False,,,,,
155,28,motorcycle,1389,386,1404,410,,,,,,36.7,False,,,,,
160,4,auto,1367,317,1920,1025,1575,624,1662,676,0.743,38.3,True,TN03D9766,0.984,TN03D9766,accepted,39.2
160,18,car,1231,375,1276,417,,,,,,38.3,False,,,,,
160,21,motorcycle,1321,372,1338,402,,,,,,38.3,False,,,,,
160,28,motorcycle,1388,386,1403,411,,,,,,38.3,False,,,,,
165,4,auto,1366,314,1920,1024,1573,621,1660,674,0.755,37.6,True,TN03D9766,0.977,TN03D9766,accepted,39.4
165,18,car,1226,377,1272,419,,,,,,37.6,False,,,,,
165,21,motorcycle,1318,371,1335,402,,,,,,37.6,False,,,,,
165,28,motorcycle,1384,384,1400,409,,,,,,37.6,False,,,,,
