track_id,vehicle_type,first_frame,last_frame,ocr_attempts,best_plate,best_confidence,all_readings
1,motorcycle,1,9,2,,0.000,
2,car,1,62,28,TN10BL7364,0.982,TN10BL7364;TN10EL7364;TN10IL7164;TN10OL7364
3,motorcycle,1,34,6,TN10C0947,0.854,TN10C0947;TN10CC0947
4,auto,1,1328,1261,TN03D9766,0.994,TN03D9766
5,motorcycle,1,1,0,,0.000,
8,van,12,14,3,TN03D9766,0.980,TN03D9766
9,car,13,108,16,TN09CX5000,0.905,AN03CE5000;TN03CK5000;TN09CX5000;TR09CX5060
19,car,37,273,17,TN41AR0082,0.958,TN41AA0082;TN41AR0002;TN41AR002;TN41AR0082;TN41ARD082
24,motorcycle,49,67,0,,0.000,
26,car,60,138,0,,0.000,
44,motorcycle,84,430,0,,0.000,
61,motorcycle,102,449,14,TN10BY5351,0.917,KL08Y5351;NL08Y5351;TN10BY5351
71,car,111,152,0,,0.000,
75,motorcycle,120,241,0,,0.000,
77,car,124,234,0,,0.000,
85,car,194,316,0,,0.000,
100,car,244,524,15,TN09BT8635,0.865,TN09BT0535;TN09BT8535;TN09BT8635
120,motorcycle,294,709,0,,0.000,
127,car,296,485,0,,0.000,
130,bus,302,380,0,,0.000,
132,car,311,329,0,,0.000,
165,car,376,413,0,,0.000,
166,car,379,438,0,,0.000,
187,car,396,418,0,,0.000,
190,motorcycle,400,467,0,,0.000,
191,bus,400,407,0,,0.000,
193,motorcycle,402,405,0,,0.000,
194,car,403,443,7,TN37OF3523,0.947,TN37DF3523;TN37OF3523
196,motorcycle,405,467,0,,0.000,
198,motorcycle,407,431,1,,0.000,
220,motorcycle,459,459,0,,0.000,
223,motorcycle,464,466,0,,0.000,
235,motorcycle,481,483,0,,0.000,
248,bus,499,502,0,,0.000,
264,auto,511,584,0,,0.000,
274,car,543,852,26,TN23AP4115,0.984,TN23AP4115
288,motorcycle,558,629,0,,0.000,
309,motorcycle,585,601,0,,0.000,
329,motorcycle,599,810,1,,0.000,
333,motorcycle,604,821,0,,0.000,
339,van,620,624,0,,0.000,
347,car,634,935,48,TN04AY8104,0.944,TN02AT0104;TN02AT5104;TN02AT8104;TN04AI8104;TN04AT0104;TN04AT8104;TN04AY8104;TN0CAT0104;TN0LAT5104;TN0LAT8104;WB4AT8104
348,motorcycle,636,708,0,,0.000,
359,car,645,775,0,,0.000,
365,motorcycle,676,713,0,,0.000,
368,truck,680,682,0,,0.000,
377,truck,689,697,0,,0.000,
380,car,690,692,0,,0.000,
383,van,692,692,1,TN03D9766,0.983,TN03D9766
391,van,702,702,1,TN03D9766,0.976,TN03D9766
392,truck,704,707,0,,0.000,
398,car,708,742,0,,0.000,
401,car,710,715,0,,0.000,
406,van,714,714,1,TN03D9766,0.976,TN03D9766
409,car,716,737,0,,0.000,
411,van,717,718,2,TN03D9766,0.984,TN03D9766
417,motorcycle,720,724,0,,0.000,
420,van,737,743,5,TN03D9766,0.987,TN03D9766
