frame_id,track_id,vehicle_type,vehicle_bbox_x1,vehicle_bbox_y1,vehicle_bbox_x2,vehicle_bbox_y2,plate_bbox_x1,plate_bbox_y1,plate_bbox_x2,plate_bbox_y2,plate_confidence,detect_inference_ms,ocr_ran,ocr_raw_text,ocr_confidence,ocr_validated_plate,ocr_status,ocr_inference_ms
1,1,motorcycle,542,502,747,770,570,588,636,612,0.417,899.1,True,,,,no_text,25.1
1,2,car,1138,411,1237,509,1152,470,1187,484,0.230,899.1,True,,,,no_text,20.7
1,3,motorcycle,1085,430,1152,543,,,,,,899.1,False,,,,,
1,4,auto,1275,348,1812,1048,1468,660,1552,711,0.718,899.1,True,TN03D9766,0.983,TN03D9766,accepted,69.9
1,5,motorcycle,556,502,622,543,,,,,,899.1,False,,,,,
2,1,motorcycle,483,505,710,801,505,606,573,634,0.520,33.8,True,,,,no_text,37.4
2,2,car,1133,409,1235,511,1149,470,1183,484,0.304,33.8,True,,,,no_text,9.0
2,3,motorcycle,1077,422,1151,547,,,,,,33.8,False,,,,,
2,4,auto,1277,348,1814,1048,1468,659,1552,709,0.722,33.8,True,TN03D9766,0.974,TN03D9766,accepted,40.6
3,1,motorcycle,440,510,682,826,463,619,536,646,0.562,33.9,True,,,,no_text,28.1
3,2,car,1130,410,1234,514,1146,473,1181,488,0.370,33.9,True,,,,no_text,8.6
3,3,motorcycle,1074,428,1147,550,,,,,,33.9,False,,,,,
3,4,auto,1276,348,1814,1050,1468,660,1553,712,0.745,33.9,True,TN03D9766,0.969,TN03D9766,accepted,66.4
4,1,motorcycle,394,515,651,849,411,627,496,659,0.549,33.7,True,,,,no_text,28.2
4,2,car,1127,408,1232,513,1148,471,1179,485,0.359,33.7,True,,,,no_text,18.6
4,3,motorcycle,1071,432,1141,550,,,,,,33.7,False,,,,,
4,4,auto,1277,347,1814,1047,1469,657,1553,708,0.726,33.7,True,TN03D9766,0.986,TN03D9766,accepted,39.0
5,1,motorcycle,301,530,587,899,308,656,395,694,0.434,34.5,True,17059280,0.585,,rejected,40.7
5,2,car,1121,410,1227,515,1141,476,1174,489,0.568,34.5,True,,,,no_text,9.1
5,3,motorcycle,1063,438,1134,556,,,,,,34.5,False,,,,,
5,4,auto,1275,348,1815,1052,1468,659,1553,712,0.743,34.5,True,TN03D9766,0.970,TN03D9766,accepted,38.7
6,1,motorcycle,173,545,505,969,163,690,266,733,0.499,40.5,True,14280,0.611,,rejected,27.6
6,2,car,1116,411,1224,517,1137,478,1170,493,0.379,40.5,True,,,,no_text,8.2
6,3,motorcycle,1056,440,1129,561,,,,,,40.5,False,,,,,
6,4,auto,1278,348,1820,1054,1471,659,1555,714,0.744,40.5,True,TN03D9766,0.990,TN03D9766,accepted,38.6
7,1,motorcycle,45,554,429,1044,,,,,,40.1,False,,,,,
7,2,car,1110,412,1220,521,1131,482,1164,496,0.481,40.1,True,,,,no_text,9.1
7,3,motorcycle,1043,433,1123,567,,,,,,40.1,False,,,,,
7,4,auto,1278,351,1822,1059,1469,663,1554,718,0.731,40.1,True,TN03D9766,0.989,TN03D9766,accepted,51.6
8,1,motorcycle,-31,581,347,1071,,,,,,39.7,False,,,,,
8,2,car,1103,415,1215,525,1122,483,1158,498,0.353,39.7,True,,,,no_text,9.2
8,3,motorcycle,1031,433,1115,575,,,,,,39.7,False,,,,,
8,4,auto,1271,355,1816,1064,1463,662,1550,722,0.698,39.7,True,TN03D9766,0.988,TN03D9766,accepted,38.7
9,1,motorcycle,-82,593,287,1086,,,,,,41.0,False,,,,,
9,2,car,1099,416,1212,528,1120,485,1157,500,0.454,41.0,True,,,,no_text,9.5
9,3,motorcycle,1024,438,1109,580,,,,,,41.0,False,,,,,
9,4,auto,1271,357,1817,1067,1466,671,1551,723,0.692,41.0,True,TN03D9766,0.987,TN03D9766,accepted,38.8
10,2,car,1091,418,1209,532,1115,488,1152,503,0.532,40.5,True,,,,no_text,9.4
10,3,motorcycle,1016,444,1101,587,,,,,,40.5,False,,,,,
10,4,auto,1270,360,1816,1069,1467,675,1550,724,0.697,40.5,True,TN03D9766,0.990,TN03D9766,accepted,38.8
11,2,car,1084,417,1205,534,1108,489,1147,504,0.478,40.4,True,,,,no_text,9.7
11,3,motorcycle,1004,447,1093,595,,,,,,40.4,False,,,,,
11,4,auto,1274,358,1822,1070,1472,670,1556,722,0.753,40.4,True,TN03D9766,0.982,TN03D9766,accepted,51.9
12,2,car,1077,419,1202,537,1104,492,1143,508,0.501,41.6,True,,,,no_text,9.4
12,3,motorcycle,991,453,1083,603,,,,,,41.6,False,,,,,
12,4,auto,1276,361,1824,1071,,,,,,41.6,False,,,,,
12,8,van,1281,362,1832,1062,1475,674,1558,724,0.719,41.6,True,TN03D9766,0.977,TN03D9766,accepted,38.7
13,2,car,1074,419,1202,539,1103,491,1143,507,0.525,40.2,True,,,,no_text,9.5
13,3,motorcycle,984,452,1079,609,,,,,,40.2,False,,,,,
13,4,auto,1280,360,1827,1070,,,,,,40.2,False,,,,,
13,8,van,1284,361,1833,1059,1477,671,1562,724,0.771,40.2,True,TN03D9766,0.970,TN03D9766,accepted,38.7
13,9,car,1161,415,1216,468,,,,,,40.2,False,,,,,
14,2,car,1065,419,1196,541,1093,494,1133,509,0.508,40.1,True,,,,no_text,10.2
14,3,motorcycle,968,449,1070,618,986,513,1020,532,0.246,40.1,True,,,,no_text,7.6
14,4,auto,1279,361,1827,1071,,,,,,40.1,False,,,,,
14,8,van,1282,362,1833,1062,1475,672,1558,723,0.748,40.1,True,TN03D9766,0.980,TN03D9766,accepted,51.5
14,9,car,1159,415,1215,469,,,,,,40.1,False,,,,,
15,2,car,1054,418,1190,544,1083,494,1125,510,0.595,43.3,True,,,,no_text,9.8
15,3,motorcycle,950,449,1057,626,969,519,1004,536,0.248,43.3,True,,,,no_text,7.9
15,4,auto,1276,359,1827,1073,1471,672,1553,723,0.722,43.3,True,TN03D9766,0.980,TN03D9766,accepted,38.5
15,9,car,1153,415,1212,471,,,,,,43.3,False,,,,,
16,2,car,1041,416,1183,547,1070,494,1116,513,0.495,40.8,True,,,,no_text,9.6
16,3,motorcycle,924,451,1039,639,940,529,982,547,0.230,40.8,True,,,,no_text,8.8
16,4,auto,1279,357,1829,1069,1471,671,1555,721,0.749,40.8,True,TN03D9766,0.991,TN03D9766,accepted,38.9
16,9,car,1151,414,1210,471,,,,,,40.8,False,,,,,
17,2,car,1032,415,1180,550,1065,497,1112,515,0.528,43.0,True,,,,no_text,9.8
17,3,motorcycle,910,453,1030,650,,,,,,43.0,False,,,,,
17,4,auto,1277,359,1826,1070,1472,675,1556,725,0.718,43.0,True,TN03D9766,0.991,TN03D9766,accepted,38.8
17,9,car,1150,415,1210,473,,,,,,43.0,False,,,,,
18,2,car,1022,413,1177,555,1057,501,1106,520,0.655,41.0,True,,,,no_text,28.5
18,3,motorcycle,888,453,1016,662,909,540,951,563,0.476,41.0,True,,,,no_text,26.1
18,4,auto,1276,362,1824,1071,1473,674,1556,725,0.724,41.0,True,TN03D9766,0.992,TN03D9766,accepted,38.9
18,9,car,1148,416,1209,475,,,,,,41.0,False,,,,,
19,2,car,1015,412,1174,557,1052,502,1100,519,0.626,41.1,True,,,,no_text,29.0
19,3,motorcycle,874,459,1004,672,895,542,943,564,0.426,41.1,True,,,,no_text,8.5
19,4,auto,1276,360,1824,1070,1473,673,1556,722,0.745,41.1,True,TN03D9766,0.992,TN03D9766,accepted,38.8
19,9,car,1146,415,1208,475,,,,,,41.1,False,,,,,
20,2,car,1005,410,1171,561,1042,506,1093,525,0.653,40.7,True,,,,no_text,28.6
20,3,motorcycle,852,462,989,687,872,553,917,577,0.495,40.7,True,FLOY,0.511,,rejected,26.5
20,4,auto,1276,362,1823,1069,1472,675,1555,724,0.710,40.7,True,TN03D9766,0.987,TN03D9766,accepted,38.7
20,9,car,1143,415,1206,477,,,,,,40.7,False,,,,,
21,2,car,1000,410,1169,563,1039,507,1091,525,0.657,42.3,True,,,,no_text,29.2
21,3,motorcycle,836,467,977,697,861,555,904,580,0.525,42.3,True,,,,no_text,7.5
21,4,auto,1278,360,1825,1068,1474,672,1558,723,0.735,42.3,True,TN03D9766,0.984,TN03D9766,accepted,39.0
21,9,car,1142,415,1206,477,,,,,,42.3,False,,,,,
22,2,car,995,410,1168,565,1036,509,1089,527,0.625,41.4,True,,,,no_text,29.8
22,3,motorcycle,822,469,968,707,848,559,892,588,0.467,41.4,True,,,,no_text,27.7
22,4,auto,1280,360,1827,1068,1477,673,1561,724,0.744,41.4,True,TN03D9766,0.991,TN03D9766,accepted,38.5
22,9,car,1142,414,1206,478,,,,,,41.4,False,,,,,
23,2,car,963,409,1152,579,994,520,1052,540,0.573,42.7,True,,,,no_text,29.8
23,3,motorcycle,706,477,898,787,702,530,749,555,0.335,42.7,True,,,,no_text,26.1
23,4,auto,1279,359,1826,1066,1476,667,1562,722,0.770,42.7,True,TN03D9766,0.987,TN03D9766,accepted,37.8
23,9,car,1132,413,1199,479,,,,,,42.7,False,,,,,
24,2,car,946,409,1145,587,987,519,1048,542,0.569,42.7,True,,,,no_text,28.0
24,3,motorcycle,644,485,859,829,641,624,706,664,0.550,42.7,True,,,,no_text,25.0
24,4,auto,1278,359,1825,1066,1477,665,1562,722,0.767,42.7,True,TN03D9766,0.983,TN03D9766,accepted,38.0
24,9,car,1128,412,1197,480,,,,,,42.7,False,,,,,
25,2,car,935,410,1140,593,981,523,1044,546,0.514,46.9,True,THIEILZOCA,0.680,,rejected,28.8
25,3,motorcycle,593,481,834,865,606,638,674,680,0.596,46.9,True,SINIOC0947,0.854,TN10C0947,accepted,39.3
25,4,auto,1280,360,1826,1065,1479,671,1563,724,0.737,46.9,True,TN03D9766,0.980,TN03D9766,accepted,50.2
25,9,car,1127,413,1198,482,,,,,,46.9,False,,,,,
26,2,car,926,410,1136,597,973,526,1038,548,0.493,44.2,True,,,,no_text,29.0
26,3,motorcycle,551,489,808,896,561,649,637,697,0.570,44.2,True,SINIOCC0947,0.785,TN10CC0947,accepted,38.2
26,4,auto,1280,360,1826,1065,1479,668,1563,723,0.754,44.2,True,TN03D9766,0.988,TN03D9766,accepted,37.3
26,9,car,1125,413,1197,483,,,,,,44.2,False,,,,,
27,2,car,914,411,1130,602,961,530,1027,553,0.652,44.6,True,TNICOL73C4,0.590,,rejected,29.4
27,3,motorcycle,471,488,766,950,465,683,545,734,0.618,44.6,True,LINI0CC0947,0.812,TN10CC0947,accepted,38.6
27,4,auto,1280,359,1826,1064,1478,665,1564,722,0.761,44.6,True,TN03D9766,0.988,TN03D9766,accepted,37.5
27,9,car,1122,413,1196,483,,,,,,44.6,False,,,,,
28,2,car,903,411,1124,606,954,533,1020,556,0.619,46.7,True,TTNTORL7364,0.566,,rejected,29.1
28,3,motorcycle,404,499,726,998,402,704,490,757,0.687,46.7,True,ETNIOCC0947,0.810,TN10CC0947,accepted,38.7
28,4,auto,1279,360,1826,1066,1478,666,1563,723,0.764,46.7,True,TN03D9766,0.969,TN03D9766,accepted,38.8
28,9,car,1119,413,1194,484,,,,,,46.7,False,,,,,
29,2,car,893,411,1120,610,945,534,1012,559,0.675,45.8,True,1TN100L7364,0.694,TN10OL7364,accepted,28.6
